"tx_id","tx_type","tx_date","material","drum_id","repro_id","tx_notes","created_at","updated_at","process_id","delivery_id","batch_code","order_id","direction"
120,"import","2021-11-12","Dichloromethane",NULL,NULL,NULL,"2024-12-01 18:06:12.994304+00","2024-12-01 18:06:12.994304+00",NULL,1,NULL,NULL,"IN"
121,"import","2021-11-18","MEK",NULL,NULL,NULL,"2024-12-01 18:06:12.994304+00","2024-12-01 18:06:12.994304+00",NULL,1,NULL,NULL,"IN"
122,"import","2021-11-18","Dimethylformamide",NULL,NULL,NULL,"2024-12-01 18:06:12.994304+00","2024-12-01 18:06:12.994304+00",NULL,1,NULL,NULL,"IN"
123,"import","2021-11-25","Dimethylformamide",NULL,NULL,NULL,"2024-12-01 18:06:12.994304+00","2024-12-01 18:06:12.994304+00",NULL,1,NULL,NULL,"IN"
124,"import","2021-11-25","Dimethylformamide",NULL,NULL,NULL,"2024-12-01 18:06:12.994304+00","2024-12-01 18:06:12.994304+00",NULL,1,NULL,NULL,"IN"
125,"import","2021-11-25","Dimethylformamide",NULL,NULL,NULL,"2024-12-01 18:06:12.994304+00","2024-12-01 18:06:12.994304+00",NULL,1,NULL,NULL,"IN"
126,"import","2021-12-07","Ethyl Acetate",NULL,NULL,NULL,"2024-12-01 18:06:12.994304+00","2024-12-01 18:06:12.994304+00",NULL,1,NULL,NULL,"IN"
127,"import","2021-12-13","Acetone",NULL,NULL,NULL,"2024-12-01 18:06:12.994304+00","2024-12-01 18:06:12.994304+00",NULL,1,NULL,NULL,"IN"
128,"import","2021-12-13","n-Octanol",NULL,NULL,NULL,"2024-12-01 18:06:12.994304+00","2024-12-01 18:06:12.994304+00",NULL,1,NULL,NULL,"IN"
129,"import","2022-01-05","Tetrahydrofuran",NULL,NULL,NULL,"2024-12-01 18:06:12.994304+00","2024-12-01 18:06:12.994304+00",NULL,1,NULL,NULL,"IN"
130,"import","2022-01-07","Methanol",NULL,NULL,NULL,"2024-12-01 18:06:12.994304+00","2024-12-01 18:06:12.994304+00",NULL,1,NULL,NULL,"IN"
131,"import","2022-01-13","Methanol",NULL,NULL,NULL,"2024-12-01 18:06:12.994304+00","2024-12-01 18:06:12.994304+00",NULL,1,NULL,NULL,"IN"
132,"import","2022-01-26","Cyclohexane",NULL,NULL,NULL,"2024-12-01 18:06:12.994304+00","2024-12-01 18:06:12.994304+00",NULL,1,NULL,NULL,"IN"
133,"import","2022-01-27","DCM",NULL,NULL,NULL,"2024-12-01 18:06:12.994304+00","2024-12-01 18:06:12.994304+00",NULL,1,NULL,NULL,"IN"
134,"import","2022-01-28","Acetone",NULL,NULL,NULL,"2024-12-01 18:06:12.994304+00","2024-12-01 18:06:12.994304+00",NULL,1,NULL,NULL,"IN"
135,"import","2022-02-02","DCM",NULL,NULL,NULL,"2024-12-01 18:06:12.994304+00","2024-12-01 18:06:12.994304+00",NULL,1,NULL,NULL,"IN"
136,"import","2022-02-02","Methylcyclohexane",NULL,NULL,NULL,"2024-12-01 18:06:12.994304+00","2024-12-01 18:06:12.994304+00",NULL,1,NULL,NULL,"IN"
137,"import","2022-02-07","Pentane",NULL,NULL,NULL,"2024-12-01 18:06:12.994304+00","2024-12-01 18:06:12.994304+00",NULL,1,NULL,NULL,"IN"
138,"import","2022-02-08","Tetrahydrofuran",NULL,NULL,NULL,"2024-12-01 18:06:12.994304+00","2024-12-01 18:06:12.994304+00",NULL,1,NULL,NULL,"IN"
139,"import","2022-02-15","2-Propanol",NULL,NULL,NULL,"2024-12-01 18:06:12.994304+00","2024-12-01 18:06:12.994304+00",NULL,1,NULL,NULL,"IN"
140,"import","2022-02-15","Ethanol",NULL,NULL,NULL,"2024-12-01 18:06:12.994304+00","2024-12-01 18:06:12.994304+00",NULL,1,NULL,NULL,"IN"
141,"import","2022-02-15"," Diethyl Eher",NULL,NULL,NULL,"2024-12-01 18:06:12.994304+00","2024-12-01 18:06:12.994304+00",NULL,1,NULL,NULL,"IN"
